Time (s),Raw Altitude (m),Filtered Altitude (m),Speed (m/s),Z Acceleration (m/s^2),Events,Actions
24.20,756.05,755.81,-3.35,-96.10,"",""
24.25,754.91,755.36,-9.11,-115.28,"",""
24.30,753.80,754.70,-13.17,-81.20,"",""
24.35,753.70,754.19,-10.09,61.65,"",""
24.40,753.10,753.65,-10.81,-14.42,"",""
24.45,752.97,753.23,-8.51,45.95,"",""
24.50,752.19,752.69,-10.72,-44.06,"",""
24.55,751.67,752.15,-10.77,-1.11,"",""
24.60,751.11,751.60,-11.05,-5.46,"",""
24.65,749.98,750.87,-14.66,-72.27,"",""
24.70,748.97,750.04,-16.59,-38.57,"",""
24.75,748.32,749.25,-15.83,15.12,"",""
24.80,747.90,748.55,-13.88,39.03,"",""
24.85,747.22,747.85,-13.99,-2.23,"",""
24.90,746.80,747.23,-12.50,29.75,"",""
24.95,746.48,746.69,-10.80,34.06,"",""
25.00,746.05,746.18,-10.20,11.96,"",""
25.05,745.79,745.74,-8.74,29.25,"",""
25.10,745.73,745.42,-6.46,45.54,"",""
25.15,745.70,745.19,-4.61,37.06,"",""
25.20,746.00,745.12,-1.27,66.74,"",""
25.25,747.08,745.42,5.85,142.50,"",""
25.30,747.77,745.85,8.74,57.68,"",""
25.35,747.90,746.23,7.47,-25.31,"",""
25.40,747.57,746.41,3.75,-74.38,"",""
25.45,746.63,746.28,-2.67,-128.37,"",""
25.50,745.59,745.88,-8.00,-106.70,"",""
25.55,745.65,745.61,-5.33,53.47,"",""
25.60,744.70,745.14,-9.42,-81.81,"",""
25.65,745.06,744.91,-4.57,97.06,"",""
25.70,744.62,744.62,-5.79,-24.53,"",""
25.75,744.07,744.26,-7.36,-31.27,"",""
25.80,743.64,743.87,-7.79,-8.58,"",""
25.85,743.84,743.65,-4.32,69.35,"",""
25.90,743.34,743.35,-5.97,-32.96,"",""
25.95,742.50,742.89,-9.22,-65.08,"",""
26.00,741.95,742.40,-9.87,-13.03,"",""
26.05,741.46,741.90,-9.99,-2.26,"",""
26.10,741.25,741.48,-8.38,32.07,"",""
26.15,740.56,740.98,-10.08,-33.89,"",""
26.20,740.20,740.51,-9.34,14.76,"",""
26.25,739.70,740.03,-9.63,-5.83,"",""
26.30,739.34,739.58,-9.00,12.61,"",""
26.35,739.20,739.22,-7.21,35.77,"",""
26.40,739.06,738.92,-5.89,26.36,"",""
26.45,738.55,738.57,-7.14,-25.02,"",""
26.50,737.94,738.13,-8.67,-30.43,"",""
26.55,737.35,737.65,-9.66,-19.96,"",""
26.60,736.97,737.19,-9.13,10.59,"",""
26.65,736.97,736.87,-6.46,53.47,"",""
26.70,736.50,736.50,-7.31,-17.03,"",""
26.75,735.64,735.99,-10.28,-59.35,"",""
26.80,735.74,735.66,-6.70,71.58,"",""
26.85,735.87,735.46,-3.89,56.32,"",""
26.90,735.08,735.09,-7.34,-69.03,"",""
26.95,734.32,734.61,-9.70,-47.26,"",""
27.00,733.94,734.15,-9.16,10.87,"",""
27.05,733.22,733.61,-10.79,-32.73,"",""
27.10,732.28,732.95,-13.31,-50.39,"",""
27.15,731.40,732.21,-14.80,-29.72,"",""
27.20,730.77,731.49,-14.38,8.36,"",""
27.25,730.25,730.82,-13.40,19.58,"",""
27.30,729.91,730.24,-11.59,36.21,"",""
27.35,729.67,729.75,-9.65,38.78,"",""
27.40,729.55,729.38,-7.50,43.00,"",""
27.45,729.49,729.10,-5.56,38.83,"",""
27.50,729.52,728.92,-3.60,39.29,"",""
27.55,729.38,728.76,-3.18,8.36,"",""
27.60,729.46,728.68,-1.56,32.37,"",""
27.65,729.61,728.69,0.04,32.00,"",""
27.70,729.69,728.73,0.79,14.89,"",""
27.75,730.15,728.91,3.60,56.27,"",""
27.80,730.03,729.01,2.17,-28.53,"",""
27.85,729.58,728.97,-0.87,-60.94,"",""
27.90,729.24,728.85,-2.47,-31.90,"",""
27.95,729.33,728.79,-1.07,27.97,"",""
28.00,728.53,728.52,-5.39,-86.36,"",""
28.05,728.67,728.38,-2.93,49.17,"",""
28.10,728.42,728.20,-3.46,-10.66,"",""
28.15,729.19,728.32,2.26,114.47,"",""
28.20,728.88,728.32,-0.02,-45.53,"",""
28.25,728.26,728.14,-3.56,-70.92,"",""
28.30,727.70,727.85,-5.82,-45.10,"",""
28.35,727.70,727.64,-4.12,34.02,"",""
28.40,727.75,727.51,-2.56,31.05,"",""
28.45,726.46,727.04,-9.46,-138.00,"",""
28.50,726.24,726.63,-8.12,26.90,"",""
28.55,726.15,726.32,-6.34,35.55,"",""
28.60,725.39,725.87,-9.05,-54.16,"",""
28.65,725.10,725.45,-8.22,16.65,"",""
28.70,724.74,725.05,-8.02,3.98,"",""
28.75,723.83,724.50,-11.17,-62.97,"",""
28.80,723.27,723.93,-11.38,-4.19,"",""
28.85,722.92,723.41,-10.26,22.32,"",""
28.90,721.25,722.55,-17.35,-141.80,"",""
28.95,720.31,721.64,-18.17,-16.47,"",""
29.00,718.78,720.52,-22.30,-82.52,"",""
29.05,717.42,719.31,-24.29,-39.85,"",""
29.10,716.77,718.23,-21.47,56.43,"",""
29.15,716.09,717.26,-19.55,38.44,"",""
29.20,715.77,716.46,-15.95,71.89,"",""
29.25,715.63,715.85,-12.21,74.79,"",""
29.30,715.26,715.31,-10.84,27.58,"",""
29.35,714.95,714.83,-9.46,27.54,"",""
29.40,714.78,714.45,-7.61,37.05,"",""
29.45,714.51,714.11,-6.85,15.20,"",""
29.50,714.04,713.74,-7.49,-12.93,"",""
29.55,713.79,713.40,-6.65,16.78,"",""
29.60,713.69,713.15,-5.14,30.24,"",""
29.65,712.88,712.73,-8.30,-63.09,"",""
29.70,712.46,712.32,-8.28,0.27,"",""
29.75,711.96,711.88,-8.76,-9.45,"",""
29.80,711.45,711.42,-9.16,-8.19,"",""
29.85,711.26,711.04,-7.55,32.36,"",""
29.90,710.99,710.70,-6.84,14.17,"",""
29.95,710.71,710.38,-6.38,9.15,"",""
30.00,710.38,710.07,-6.35,0.64,"",""
30.05,710.37,709.85,-4.41,38.77,"",""
30.10,709.80,709.53,-6.35,-38.80,"",""
30.15,709.64,709.26,-5.32,20.53,"",""
30.20,709.06,708.91,-7.09,-35.39,"",""
30.25,708.93,708.62,-5.70,27.87,"",""
30.30,708.71,708.36,-5.22,9.64,"",""
30.35,708.39,708.09,-5.47,-5.01,"",""
30.40,708.55,707.95,-2.78,53.82,"",""
30.45,708.32,707.79,-3.14,-7.34,"",""
30.50,708.61,707.78,-0.30,56.83,"",""
30.55,708.25,707.67,-2.12,-36.39,"",""
30.60,708.13,707.57,-2.03,1.80,"",""
30.65,707.89,707.43,-2.69,-13.25,"",""
30.70,707.48,707.22,-4.21,-30.31,"",""
30.75,707.71,707.15,-1.49,54.39,"",""
30.80,707.62,707.08,-1.41,1.50,"",""
30.85,707.35,706.96,-2.45,-20.67,"",""
30.90,706.85,706.73,-4.60,-42.95,"",""
30.95,707.09,706.64,-1.74,57.11,"",""
31.00,706.77,706.49,-3.00,-25.26,"",""
31.05,706.33,706.26,-4.66,-33.10,"",""
31.10,706.10,706.03,-4.62,0.79,"",""
31.15,705.50,705.69,-6.81,-43.84,"",""
31.20,705.52,705.45,-4.70,42.15,"",""
31.25,705.21,705.19,-5.13,-8.56,"",""
31.30,704.76,704.88,-6.29,-23.11,"",""
31.35,704.57,704.60,-5.58,14.21,"",""
31.40,703.73,704.15,-8.95,-67.52,"",""
31.45,703.18,703.67,-9.69,-14.82,"",""
31.50,702.58,703.14,-10.53,-16.77,"",""
31.55,701.79,702.53,-12.28,-34.98,"",""
31.60,700.53,701.71,-16.38,-81.94,"",""
31.65,699.23,700.73,-19.62,-64.80,"",""
31.70,698.69,699.86,-17.42,43.92,"",""
31.75,698.00,699.02,-16.69,14.73,"",""
31.80,697.55,698.29,-14.69,39.98,"",""
31.85,697.26,697.68,-12.24,48.89,"",""
31.90,697.05,697.18,-9.95,45.76,"",""
31.95,696.67,696.71,-9.29,13.36,"",""
32.00,696.53,696.35,-7.35,38.65,"",""
32.05,696.34,696.03,-6.23,22.42,"",""
32.10,696.13,695.76,-5.53,14.03,"",""
32.15,695.78,695.46,-5.86,-6.58,"",""
32.20,695.62,695.22,-4.97,17.85,"",""
32.25,695.58,695.04,-3.60,27.43,"",""
32.30,695.71,694.96,-1.57,40.44,"",""
32.35,695.81,694.94,-0.28,25.96,"",""
32.40,696.03,695.01,1.39,33.25,"",""
32.45,696.51,695.22,4.16,55.38,"",""
32.50,696.23,695.30,1.62,-50.80,"",""
32.55,695.96,695.29,-0.21,-36.52,"",""
32.60,696.03,695.32,0.47,13.68,"",""
32.65,695.55,695.20,-2.33,-56.15,"",""
32.70,695.04,694.97,-4.59,-45.08,"",""
32.75,694.89,694.76,-4.09,9.96,"",""
32.80,694.35,694.46,-6.07,-39.50,"",""
32.85,694.04,694.15,-6.14,-1.47,"",""
32.90,693.17,693.68,-9.55,-68.25,"",""
32.95,692.88,693.25,-8.58,19.47,"",""
33.00,692.09,692.70,-10.86,-45.54,"",""
33.05,691.59,692.17,-10.78,1.44,"",""
33.10,690.89,691.57,-11.92,-22.76,"",""
33.15,690.23,690.94,-12.51,-11.75,"",""
33.20,689.57,690.30,-12.93,-8.43,"",""
33.25,688.73,689.58,-14.31,-27.59,"",""
33.30,688.47,688.99,-11.83,49.54,"",""
33.35,687.94,688.41,-11.62,4.27,"",""
33.40,687.41,687.84,-11.45,3.29,"",""
33.45,687.02,687.31,-10.49,19.36,"",""
33.50,687.12,686.97,-6.83,73.16,"",""
33.55,686.93,686.68,-5.88,19.06,"",""
33.60,686.43,686.33,-7.04,-23.24,"",""
33.65,686.07,685.97,-7.05,-0.35,"",""
33.70,685.69,685.61,-7.19,-2.69,"",""
33.75,685.57,685.33,-5.73,29.19,"",""
33.80,685.22,685.03,-6.04,-6.17,"",""
33.85,684.88,684.71,-6.21,-3.41,"",""
33.90,684.67,684.44,-5.56,13.04,"",""
33.95,684.61,684.23,-4.18,27.53,"",""
34.00,684.05,683.92,-6.17,-39.83,"",""
34.05,683.66,683.59,-6.62,-8.99,"",""
34.10,684.03,683.47,-2.39,84.55,"",""
34.15,684.36,683.49,0.47,57.32,"",""
34.20,684.12,683.45,-0.85,-26.43,"",""
34.25,684.14,683.44,-0.27,11.51,"",""
34.30,684.87,683.66,4.40,93.46,"",""
34.35,684.42,683.69,0.74,-73.12,"",""
34.40,684.06,683.62,-1.42,-43.31,"",""
34.45,684.03,683.57,-1.04,7.55,"",""
34.50,684.37,683.64,1.45,49.82,"",""
34.55,683.89,683.56,-1.65,-61.92,"",""
34.60,683.43,683.37,-3.82,-43.33,"",""
34.65,683.43,683.24,-2.65,23.25,"",""
34.70,682.96,683.01,-4.62,-39.33,"",""
34.75,682.61,682.74,-5.35,-14.56,"",""
34.80,682.18,682.42,-6.36,-20.29,"",""
34.85,681.82,682.09,-6.69,-6.47,"",""
34.90,681.88,681.87,-4.40,45.71,"",""
34.95,681.61,681.63,-4.70,-5.92,"",""
35.00,680.74,681.21,-8.51,-76.36,"",""
35.05,680.38,680.79,-8.26,5.08,"",""
35.10,679.39,680.20,-11.85,-71.72,"",""
35.15,678.28,679.44,-15.19,-66.99,"",""
35.20,677.32,678.60,-16.74,-31.00,"",""
35.25,676.87,677.86,-14.81,38.77,"",""
35.30,677.19,677.43,-8.74,121.28,"",""
35.35,677.79,677.30,-2.59,123.04,"",""
35.40,678.24,677.35,1.03,72.50,"",""
35.45,678.40,677.45,1.95,18.34,"",""
35.50,678.59,677.59,2.79,16.81,"",""
35.55,678.57,677.69,2.14,-13.13,"",""
35.60,678.98,677.90,4.22,41.65,"",""
35.65,678.30,677.86,-0.80,-100.45,"",""
35.70,677.44,677.58,-5.59,-95.75,"",""
35.75,676.29,677.04,-10.86,-105.31,"",""
35.80,675.52,676.42,-12.45,-31.76,"",""
35.85,674.22,675.58,-16.78,-86.72,"",""
35.90,673.79,674.84,-14.73,40.93,"",""
35.95,672.84,674.03,-16.33,-31.91,"",""
36.00,672.86,673.44,-11.67,93.26,"",""
36.05,673.14,673.11,-6.66,100.10,"",""
36.10,673.12,672.87,-4.77,37.75,"",""
36.15,673.33,672.77,-2.01,55.34,"",""
36.20,673.27,672.69,-1.60,8.20,"",""
36.25,673.28,672.65,-0.88,14.26,"",""
36.30,673.31,672.63,-0.25,12.71,"",""
36.35,673.01,672.55,-1.77,-30.45,"",""
36.40,672.89,672.45,-1.82,-0.98,"",""
36.45,673.25,672.51,1.02,56.74,"",""
36.50,672.89,672.44,-1.23,-44.83,"",""
36.55,672.90,672.41,-0.66,11.23,"",""
36.60,672.58,672.30,-2.24,-31.48,"",""
36.65,672.15,672.10,-4.06,-36.49,"",""
36.70,672.25,671.98,-2.23,36.70,"",""
36.75,672.05,671.85,-2.68,-9.04,"",""
36.80,671.81,671.69,-3.26,-11.53,"",""
36.85,671.30,671.42,-5.30,-40.93,"",""
36.90,670.39,670.96,-9.21,-78.12,"",""
36.95,669.59,670.39,-11.42,-44.18,"",""
37.00,668.83,669.75,-12.79,-27.50,"",""
37.05,668.15,669.09,-13.31,-10.37,"",""
37.10,667.22,668.33,-15.18,-37.35,"",""
37.15,666.69,667.62,-14.14,20.83,"",""
37.20,666.72,667.12,-10.00,82.84,"",""
37.25,666.70,666.76,-7.24,55.17,"",""
37.30,666.82,666.54,-4.36,57.47,"",""
37.35,667.15,666.49,-0.99,67.46,"",""
37.40,667.64,666.61,2.44,68.70,"",""
37.45,667.54,666.68,1.42,-20.51,"",""
37.50,667.30,666.67,-0.19,-32.18,"",""
37.55,666.66,666.49,-3.79,-71.91,"",""
37.60,666.31,666.25,-4.70,-18.24,"",""
37.65,665.99,665.99,-5.19,-9.86,"",""
37.70,665.22,665.58,-8.25,-61.26,"",""
37.75,664.79,665.16,-8.46,-4.23,"",""
37.80,664.26,664.69,-9.22,-15.00,"",""
37.85,664.05,664.30,-7.84,27.48,"",""
37.90,663.36,663.82,-9.70,-37.27,"",""
37.95,662.77,663.29,-10.47,-15.32,"",""
38.00,662.62,662.87,-8.39,41.68,"",""
38.05,662.51,662.54,-6.61,35.59,"",""
38.10,662.06,662.18,-7.33,-14.56,"",""
38.15,661.72,661.82,-7.21,2.51,"",""
38.20,661.44,661.48,-6.76,9.08,"",""
38.25,661.25,661.18,-5.88,17.50,"",""
38.30,661.10,660.94,-5.00,17.67,"",""
38.35,660.78,660.67,-5.37,-7.43,"",""
38.40,660.77,660.48,-3.78,31.69,"",""
38.45,660.60,660.30,-3.58,4.06,"",""
38.50,660.17,660.05,-5.00,-28.30,"",""
38.55,659.73,659.74,-6.10,-22.09,"",""
38.60,659.62,659.50,-4.93,23.32,"",""
38.65,659.20,659.20,-5.94,-20.05,"",""
38.70,658.73,658.85,-6.98,-20.78,"",""
38.75,658.41,658.51,-6.84,2.73,"",""
38.80,658.15,658.19,-6.38,9.24,"",""
38.85,657.79,657.86,-6.64,-5.18,"",""
38.90,657.26,657.47,-7.85,-24.19,"",""
38.95,657.06,657.13,-6.75,21.84,"",""
39.00,656.53,656.73,-7.93,-23.49,"",""
39.05,656.32,656.39,-6.87,21.16,"",""
39.10,656.08,656.08,-6.27,12.01,"",""
39.15,655.80,655.77,-6.07,4.05,"",""
39.20,655.61,655.50,-5.38,13.77,"",""
39.25,655.59,655.31,-3.85,30.52,"",""
39.30,654.89,654.97,-6.81,-59.20,"",""
39.35,654.80,654.70,-5.33,29.60,"",""
39.40,654.43,654.41,-5.92,-11.82,"",""
39.45,654.04,654.08,-6.48,-11.12,"",""
39.50,653.86,653.80,-5.63,17.02,"",""
39.55,653.65,653.54,-5.18,8.92,"",""
39.60,653.44,653.30,-4.86,6.54,"",""
39.65,653.29,653.09,-4.26,11.98,"",""
39.70,652.97,652.84,-4.84,-11.64,"",""
39.75,652.84,652.64,-4.13,14.18,"",""
39.80,653.00,652.54,-1.87,45.19,"",""
39.85,653.10,652.52,-0.57,25.95,"",""
39.90,652.86,652.43,-1.67,-21.86,"",""
39.95,652.86,652.38,-1.04,12.56,"",""
40.00,653.29,652.48,2.00,60.70,"",""
40.05,653.10,652.51,0.50,-29.93,"",""
40.10,653.13,652.54,0.71,4.16,"",""
40.15,652.63,652.42,-2.33,-60.72,"",""
40.20,652.84,652.41,-0.31,40.39,"",""
40.25,652.70,652.36,-0.93,-12.37,"",""
40.30,652.22,652.19,-3.43,-50.02,"",""
40.35,651.38,651.82,-7.43,-80.07,"",""
40.40,650.82,651.39,-8.69,-25.26,"",""
40.45,650.69,651.03,-7.04,33.17,"",""
40.50,650.38,650.69,-6.89,2.95,"",""
40.55,650.33,650.43,-5.21,33.47,"",""
40.60,649.63,650.03,-7.88,-53.31,"",""
40.65,649.02,649.57,-9.30,-28.35,"",""
40.70,648.85,649.19,-7.69,32.08,"",""
40.75,647.99,648.65,-10.65,-59.05,"",""
40.80,647.29,648.06,-11.85,-24.10,"",""
40.85,646.44,647.38,-13.63,-35.52,"",""
40.90,645.58,646.63,-14.98,-27.07,"",""
40.95,645.01,645.92,-14.22,15.18,"",""
41.00,645.11,645.44,-9.63,91.87,"",""
41.05,645.10,645.09,-6.90,54.60,"",""
41.10,645.44,644.95,-2.79,82.23,"",""
41.15,645.59,644.91,-0.90,37.64,"",""
41.20,645.46,644.85,-1.21,-6.08,"",""
41.25,645.08,644.70,-2.94,-34.68,"",""
41.30,644.48,644.42,-5.55,-52.07,"",""
41.35,643.95,644.07,-7.05,-29.99,"",""
41.40,643.19,643.59,-9.53,-49.66,"",""
41.45,642.58,643.07,-10.45,-18.46,"",""
41.50,642.40,642.65,-8.54,38.15,"",""
41.55,642.88,642.49,-3.17,107.39,"",""
41.60,643.44,642.55,1.26,88.61,"",""
41.65,643.70,642.68,2.71,29.01,"",""
41.70,643.89,642.85,3.34,12.65,"",""
41.75,644.08,643.04,3.79,8.99,"",""
41.80,644.06,643.18,2.84,-18.90,"",""
41.85,643.56,643.15,-0.75,-71.80,"",""
41.90,643.32,643.05,-1.84,-21.84,"",""
41.95,643.02,642.90,-3.01,-23.38,"",""
42.00,642.93,642.77,-2.61,7.94,"",""
42.05,642.51,642.56,-4.30,-33.80,"",""
42.10,643.03,642.56,0.10,87.91,"",""
42.15,642.51,642.42,-2.91,-60.17,"",""
42.20,643.10,642.49,1.53,88.83,"",""
42.25,642.58,642.40,-1.87,-67.94,"",""
42.30,642.52,642.32,-1.61,5.09,"",""
42.35,641.56,641.98,-6.83,-104.32,"",""
42.40,641.21,641.63,-7.01,-3.53,"",""
42.45,640.78,641.25,-7.61,-12.07,"",""
42.50,640.56,640.91,-6.79,16.45,"",""
42.55,640.83,640.75,-3.24,71.03,"",""
42.60,641.04,640.70,-0.98,45.11,"",""
42.65,640.63,640.55,-3.04,-41.27,"",""
42.70,639.79,640.19,-7.14,-82.03,"",""
42.75,638.58,639.57,-12.38,-104.72,"",""
42.80,637.43,638.78,-15.86,-69.65,"",""
42.85,635.72,637.69,-21.77,-118.10,"",""
42.90,635.15,636.72,-19.25,50.40,"",""
42.95,635.90,636.25,-9.45,196.04,"",""
43.00,636.83,636.20,-1.14,166.16,"",""
43.05,637.29,636.30,2.15,65.83,"",""
43.10,637.39,636.42,2.40,5.00,"",""
43.15,637.64,636.60,3.47,21.38,"",""
43.20,637.72,636.76,3.22,-4.98,"",""
43.25,637.80,636.91,3.02,-3.97,"",""
43.30,637.43,636.92,0.16,-57.21,"",""
43.35,638.11,637.14,4.35,83.69,"",""
43.40,637.15,637.01,-2.42,-135.44,"",""
43.45,636.83,636.84,-3.58,-23.04,"",""
43.50,636.13,636.50,-6.70,-62.58,"",""
43.55,635.98,636.21,-5.70,20.01,"",""
43.60,634.89,635.68,-10.60,-97.98,"",""
43.65,634.42,635.16,-10.48,2.45,"",""
43.70,633.70,634.57,-11.88,-27.96,"",""
43.75,633.45,634.06,-10.08,36.07,"",""
43.80,633.03,633.58,-9.76,6.37,"",""
43.85,632.97,633.21,-7.35,48.07,"",""
43.90,632.81,632.90,-6.18,23.49,"",""
43.95,632.81,632.68,-4.35,36.54,"",""
44.00,632.82,632.53,-2.95,28.08,"",""
44.05,632.78,632.42,-2.22,14.60,"",""
44.10,632.99,632.41,-0.18,40.65,"",""
44.15,632.77,632.35,-1.28,-21.83,"",""
44.20,632.41,632.20,-2.93,-33.02,"",""
44.25,632.29,632.07,-2.71,4.40,"",""
44.30,631.97,631.88,-3.75,-20.82,"",""
44.35,631.76,631.69,-3.86,-2.17,"",""
44.40,631.56,631.49,-3.88,-0.42,"",""
44.45,631.25,631.27,-4.55,-13.53,"",""
44.50,630.99,631.03,-4.75,-3.97,"",""
44.55,630.36,630.67,-7.12,-47.31,"",""
44.60,629.93,630.29,-7.66,-10.76,"",""
44.65,629.70,629.95,-6.85,16.18,"",""
44.70,629.64,629.69,-5.23,32.40,"",""
44.75,629.60,629.49,-3.91,26.29,"",""
44.80,629.06,629.19,-5.95,-40.66,"",""
44.85,629.20,629.02,-3.36,51.68,"",""
44.90,629.07,628.87,-3.08,5.62,"",""
44.95,629.06,628.76,-2.16,18.48,"",""
45.00,629.33,628.77,0.20,47.12,"",""
45.05,628.90,628.66,-2.27,-49.45,"",""
45.10,628.69,628.52,-2.78,-10.12,"",""
45.15,628.44,628.35,-3.39,-12.31,"",""
45.20,628.09,628.13,-4.45,-21.10,"",""
45.25,627.88,627.91,-4.39,1.27,"",""
45.30,627.58,627.66,-4.88,-9.86,"",""
45.35,627.47,627.46,-4.10,15.56,"",""
45.40,627.17,627.23,-4.67,-11.34,"",""
45.45,627.06,627.03,-3.94,14.47,"",""
45.50,626.75,626.80,-4.61,-13.35,"",""
45.55,626.76,626.64,-3.18,28.58,"",""
45.60,626.65,626.50,-2.85,6.62,"",""
45.65,626.56,626.37,-2.49,7.23,"",""
45.70,626.52,626.28,-1.93,11.27,"",""
45.75,626.46,626.19,-1.64,5.83,"",""
45.80,626.44,626.14,-1.19,9.01,"",""
45.85,626.48,626.11,-0.50,13.74,"",""
45.90,626.14,626.00,-2.28,-35.59,"",""
45.95,626.11,625.91,-1.73,10.93,"",""
46.00,626.05,625.83,-1.51,4.39,"",""
46.05,626.18,625.82,-0.21,25.97,"",""
46.10,626.29,625.85,0.62,16.62,"",""
46.15,626.04,625.81,-0.94,-31.09,"",""
46.20,626.10,625.80,-0.23,14.22,"",""
46.25,626.05,625.78,-0.37,-2.82,"",""
46.30,625.87,625.71,-1.26,-17.76,"",""
46.35,625.45,625.55,-3.35,-41.94,"",""
46.40,625.53,625.45,-1.90,29.13,"",""
46.45,625.91,625.50,0.98,57.44,"",""
46.50,625.60,625.45,-1.05,-40.61,"",""
46.55,625.59,625.41,-0.75,6.03,"",""
46.60,624.96,625.20,-4.25,-70.01,"",""
46.65,624.27,624.84,-7.19,-58.71,"",""
46.70,624.73,624.72,-2.44,94.92,"",""
46.75,625.11,624.75,0.57,60.34,"",""
46.80,624.37,624.55,-3.93,-90.06,"",""
46.85,624.52,624.45,-1.90,40.50,"",""
46.90,623.54,624.09,-7.19,-105.78,"",""
46.95,623.28,623.76,-6.76,8.63,"",""
47.00,623.22,623.49,-5.24,30.51,"",""
47.05,622.90,623.21,-5.67,-8.63,"",""
47.10,622.37,622.85,-7.24,-31.46,"",""
47.15,622.87,622.74,-2.21,100.57,"",""
47.20,622.89,622.67,-1.39,16.46,"",""
47.25,622.91,622.63,-0.79,12.06,"",""
47.30,622.76,622.56,-1.37,-11.60,"",""
47.35,622.02,622.29,-5.34,-79.41,"",""
47.40,621.81,622.04,-5.08,5.17,"",""
47.45,621.21,621.68,-7.22,-42.92,"",""
47.50,621.14,621.40,-5.62,32.13,"",""
47.55,620.84,621.11,-5.81,-3.85,"",""
47.60,620.27,620.73,-7.57,-35.15,"",""
47.65,619.93,620.36,-7.48,1.85,"",""
47.70,619.64,620.00,-7.10,7.49,"",""
47.75,619.28,619.64,-7.24,-2.76,"",""
47.80,618.78,619.23,-8.17,-18.72,"",""
47.85,618.72,618.92,-6.22,39.15,"",""
47.90,618.33,618.58,-6.75,-10.69,"",""
47.95,618.23,618.31,-5.40,27.00,"",""
48.00,617.66,617.95,-7.23,-36.48,"",""
48.05,617.38,617.61,-6.83,8.01,"",""
48.10,617.18,617.31,-6.05,15.58,"",""
48.15,617.09,617.07,-4.81,24.72,"",""
48.20,616.92,616.85,-4.38,8.61,"",""
48.25,616.43,616.55,-5.98,-32.08,"",""
48.30,616.27,616.29,-5.18,16.00,"",""
48.35,616.00,616.03,-5.25,-1.41,"",""
48.40,615.74,615.76,-5.25,0.17,"",""
48.45,615.46,615.50,-5.36,-2.27,"",""
48.50,615.36,615.28,-4.36,19.94,"",""
48.55,614.98,615.01,-5.31,-18.93,"",""
48.60,614.84,614.78,-4.57,14.86,"",""
48.65,614.41,614.50,-5.76,-23.87,"",""
48.70,614.02,614.18,-6.40,-12.76,"",""
48.75,614.31,614.04,-2.78,72.25,"",""
48.80,614.24,613.92,-2.29,9.95,"",""
48.85,614.23,613.84,-1.57,14.43,"",""
48.90,614.03,613.74,-2.18,-12.29,"",""
48.95,613.74,613.58,-3.18,-19.95,"",""
49.00,613.37,613.36,-4.40,-24.35,"",""
49.05,612.99,613.09,-5.35,-19.15,"",""
49.10,612.99,612.90,-3.78,31.52,"",""
49.15,613.02,612.78,-2.44,26.80,"",""
49.20,612.84,612.64,-2.71,-5.53,"",""
49.25,612.64,612.49,-3.04,-6.54,"",""
49.30,612.09,612.22,-5.38,-46.86,"",""
49.35,611.34,611.81,-8.31,-58.49,"",""
49.40,611.30,611.50,-6.20,42.25,"",""
49.45,610.99,611.18,-6.26,-1.21,"",""
49.50,610.74,610.89,-5.94,6.37,"",""
49.55,610.19,610.51,-7.50,-31.26,"",""
49.60,609.97,610.18,-6.67,16.67,"",""
49.65,609.69,609.86,-6.41,5.15,"",""
49.70,609.46,609.56,-5.92,9.85,"",""
49.75,609.48,609.36,-4.05,37.29,"",""
49.80,609.44,609.21,-3.04,20.24,"",""
49.85,609.64,609.16,-0.86,43.64,"",""
49.90,609.69,609.16,-0.16,14.00,"",""
49.95,609.58,609.13,-0.61,-9.05,"",""
50.00,609.42,609.06,-1.25,-12.81,"",""
50.05,609.74,609.12,1.15,48.05,"",""
50.10,609.82,609.19,1.47,6.41,"",""
50.15,609.67,609.21,0.32,-23.08,"",""
50.20,609.62,609.21,0.06,-5.15,"",""
50.25,609.73,609.25,0.82,15.28,"",""
50.30,609.50,609.22,-0.66,-29.69,"",""
50.35,609.47,609.19,-0.56,2.03,"",""
50.40,608.14,608.78,-8.29,-154.59,"",""
50.45,607.99,608.43,-6.89,27.89,"",""
50.50,608.41,608.31,-2.44,89.09,"",""
50.55,608.25,608.18,-2.64,-3.98,"",""
50.60,607.77,607.95,-4.71,-41.36,"",""
50.65,607.56,607.72,-4.61,1.98,"",""
50.70,608.20,607.74,0.57,103.51,"",""
50.75,607.76,607.64,-2.10,-53.47,"",""
50.80,607.60,607.52,-2.40,-5.84,"",""
50.85,605.71,606.87,-12.99,-211.93,"",""
50.90,604.88,606.15,-14.42,-28.59,"",""
50.95,604.74,605.58,-11.32,62.13,"",""
51.00,604.69,605.16,-8.47,56.85,"",""
51.05,604.85,604.90,-5.11,67.24,"",""
51.10,604.19,604.52,-7.55,-48.84,"",""
51.15,603.71,604.11,-8.27,-14.28,"",""
51.20,603.18,603.66,-9.09,-16.40,"",""
51.25,602.70,603.19,-9.38,-5.93,"",""
51.30,602.30,602.73,-9.12,5.38,"",""
51.35,601.67,602.22,-10.29,-23.50,"",""
51.40,601.18,601.70,-10.31,-0.34,"",""
51.45,600.77,601.21,-9.83,9.51,"",""
51.50,600.27,600.71,-10.01,-3.65,"",""
51.55,599.27,600.05,-13.14,-62.55,"",""
51.60,598.56,599.37,-13.69,-11.04,"",""
